task_idx,dataset_id,objective,edit_budget,seed,method,beta,n_proposals,n_selected,n_labeled,labeled_fraction,functional_hit_rate_labeled,joint_success_rate_labeled,first_functional_rank,mean_edit_distance,mean_prior_function_prob,mean_plm_score
2,F7YBW8_MESOW_Aakre_2015,motif_avoidance,1,0,editguard_diffusion_dplm,0.0,54,50,3,0.06,1.0,1.0,,1.0,0.5698399876867557,
2,F7YBW8_MESOW_Aakre_2015,motif_avoidance,1,0,editguard_diffusion_dplm,0.5,54,50,3,0.06,1.0,1.0,,1.0,0.5698399876867558,
2,F7YBW8_MESOW_Aakre_2015,motif_avoidance,1,0,editguard_diffusion_dplm,1.0,54,50,3,0.06,1.0,1.0,,1.0,0.5698399876867558,
2,F7YBW8_MESOW_Aakre_2015,motif_avoidance,1,0,editguard_diffusion_dplm,2.0,54,50,3,0.06,1.0,1.0,,1.0,0.57064322304178,
2,F7YBW8_MESOW_Aakre_2015,motif_avoidance,1,1,editguard_diffusion_dplm,0.0,40,40,0,0.0,,,,1.0,0.5498813517091448,
2,F7YBW8_MESOW_Aakre_2015,motif_avoidance,1,1,editguard_diffusion_dplm,0.5,40,40,0,0.0,,,,1.0,0.5498813517091448,
2,F7YBW8_MESOW_Aakre_2015,motif_avoidance,1,1,editguard_diffusion_dplm,1.0,40,40,0,0.0,,,,1.0,0.5498813517091447,
2,F7YBW8_MESOW_Aakre_2015,motif_avoidance,1,1,editguard_diffusion_dplm,2.0,40,40,0,0.0,,,,1.0,0.5498813517091447,
2,F7YBW8_MESOW_Aakre_2015,motif_avoidance,1,2,editguard_diffusion_dplm,0.0,50,50,0,0.0,,,,1.0,0.5073263457057987,
2,F7YBW8_MESOW_Aakre_2015,motif_avoidance,1,2,editguard_diffusion_dplm,0.5,50,50,0,0.0,,,,1.0,0.5073263457057987,
2,F7YBW8_MESOW_Aakre_2015,motif_avoidance,1,2,editguard_diffusion_dplm,1.0,50,50,0,0.0,,,,1.0,0.5073263457057987,
2,F7YBW8_MESOW_Aakre_2015,motif_avoidance,1,2,editguard_diffusion_dplm,2.0,50,50,0,0.0,,,,1.0,0.5073263457057987,
2,F7YBW8_MESOW_Aakre_2015,motif_avoidance,1,3,editguard_diffusion_dplm,0.0,58,50,3,0.06,1.0,1.0,,1.0,0.49379720467163646,
2,F7YBW8_MESOW_Aakre_2015,motif_avoidance,1,3,editguard_diffusion_dplm,0.5,58,50,3,0.06,1.0,1.0,,1.0,0.4998407046217512,
2,F7YBW8_MESOW_Aakre_2015,motif_avoidance,1,3,editguard_diffusion_dplm,1.0,58,50,3,0.06,1.0,1.0,,1.0,0.4998407046217511,
2,F7YBW8_MESOW_Aakre_2015,motif_avoidance,1,3,editguard_diffusion_dplm,2.0,58,50,2,0.04,1.0,1.0,,1.0,0.5014893843002816,
2,F7YBW8_MESOW_Aakre_2015,motif_avoidance,1,4,editguard_diffusion_dplm,0.0,45,45,3,0.06666666666666667,1.0,1.0,,1.0,0.4694880374607833,
2,F7YBW8_MESOW_Aakre_2015,motif_avoidance,1,4,editguard_diffusion_dplm,0.5,45,45,3,0.06666666666666667,1.0,1.0,,1.0,0.4694880374607833,
2,F7YBW8_MESOW_Aakre_2015,motif_avoidance,1,4,editguard_diffusion_dplm,1.0,45,45,3,0.06666666666666667,1.0,1.0,,1.0,0.4694880374607833,
2,F7YBW8_MESOW_Aakre_2015,motif_avoidance,1,4,editguard_diffusion_dplm,2.0,45,45,3,0.06666666666666667,1.0,1.0,,1.0,0.4694880374607834,
3,F7YBW8_MESOW_Aakre_2015,novelty,2,0,editguard_diffusion_dplm,0.0,80,50,2,0.04,1.0,1.0,,1.34,0.4285675656782962,
3,F7YBW8_MESOW_Aakre_2015,novelty,2,0,editguard_diffusion_dplm,0.5,80,50,2,0.04,1.0,1.0,,1.3,0.4368057789665952,
3,F7YBW8_MESOW_Aakre_2015,novelty,2,0,editguard_diffusion_dplm,1.0,80,50,2,0.04,1.0,1.0,,1.28,0.4420905170075975,
