split,n,ece,brier,log_loss,mean_predicted,empirical_rate
test,63544,0.10644659988235755,0.18527788405081685,0.545040784236185,0.33435656103799466,0.25001573712703007
train,200000,0.044014265534317934,0.13062191230803383,0.40177834745411817,0.2748408230533076,0.250945
val,31401,0.000107871728822973,0.13817197411734394,0.42196993779492076,0.2500238870418139,0.25002388458966274
pooled,294945,0.05315144985673506,0.14320099844035528,0.4347929922562719,0.285020997142721,0.25064673074641036
