bin_idx,lo,hi,n,fraction,mean_predicted,empirical_rate,gap,split
0,0.0,0.009541984732824426,1375,0.021638549666372908,1.2173317249054624e-05,0.05018181818181818,0.050169644864569124,test
1,0.009541984732824426,0.020833333333333332,6824,0.10739015485332998,0.011832595299763016,0.022274325908558032,0.010441730608795016,test
2,0.020833333333333332,0.03902439024390244,3386,0.053285912123882666,0.026508617286601387,0.014176018901358535,0.012332598385242852,test
3,0.03902439024390244,0.07547169811320754,4798,0.07550673549036888,0.051715863730149296,0.033764068361817424,0.01795179536833187,test
4,0.07547169811320754,0.14016172506738545,4038,0.06354651894750095,0.10376925969353089,0.066617137196632,0.03715212249689889,test
5,0.14016172506738545,0.23493975903614459,4698,0.07393302278735994,0.16289595693150682,0.13942103022562793,0.02347492670587889,test
6,0.23493975903614459,0.25568627450980386,909,0.014305048470351254,0.23496754886644122,0.2079207920792079,0.02704675678723331,test
7,0.25568627450980386,0.27011188066062863,4879,0.07678144277980611,0.2571537168119544,0.179135068661611,0.07801864815034343,test
8,0.27011188066062863,0.2892938496583144,5644,0.0888203449578245,0.273265966821938,0.2898653437278526,0.01659937690591462,test
9,0.2892938496583144,0.37910447761194027,5533,0.08707352385748458,0.32927622806990137,0.3889390927164287,0.059662864646527314,test
10,0.37910447761194027,0.5535307517084282,4329,0.06812602291325695,0.45268986614606593,0.48463848463848463,0.0319486184924187,test
11,0.5535307517084282,0.754424778761062,4080,0.0642074782827647,0.6326393255565208,0.6026960784313725,0.029943247125148287,test
12,0.754424778761062,0.7825581395348837,1546,0.02432959838851819,0.7546557083274491,0.574385510996119,0.1802701973313301,test
13,0.7825581395348837,1.0,11505,0.1810556464811784,0.7912557149548095,0.3681877444589309,0.42306797049587863,test
0,0.0,0.009541984732824426,11967,0.059835,3.3749874277710966e-06,0.0,3.3749874277710966e-06,train
1,0.009541984732824426,0.016476552598225603,13246,0.06623,0.01108405682729135,0.004756152800845538,0.006327904026445812,train
2,0.016476552598225603,0.03902439024390244,12490,0.06245,0.02407857602437843,0.018414731785428344,0.005663844238950087,train
3,0.03902439024390244,0.08783783783783784,15472,0.07736,0.05414013328907971,0.03658221302998966,0.017557920259090053,train
4,0.08783783783783784,0.14016172506738545,10819,0.054095,0.10925582335318447,0.05739902024216656,0.05185680311101791,train
5,0.14016172506738545,0.1977401129943503,15957,0.079785,0.15443026990549616,0.09187190574669424,0.06255836415880192,train
