task_idx,dataset_id,objective,edit_budget,seed,method,n_selected,functional_hit_rate,mean_fitness,best_fitness,mean_edit_distance,constraint_satisfaction_rate,joint_success_rate
7,F7YBW8_MESOW_Aakre_2015,fragility_aware,3,4,dms_pool_guided,50,0.84,0.8625021758050478,0.9988033072236727,2.56,1.0,0.84
8,F7YBW8_MESOW_Aakre_2015,motif_avoidance,3,0,dms_pool_guided,50,0.52,0.6887271540469976,0.9898825065274152,2.8,1.0,0.52
8,F7YBW8_MESOW_Aakre_2015,motif_avoidance,3,1,dms_pool_guided,50,0.54,0.6733474760661445,0.9977154046997389,2.82,1.0,0.54
8,F7YBW8_MESOW_Aakre_2015,motif_avoidance,3,2,dms_pool_guided,50,0.58,0.7111520887728457,0.9978241949521323,2.82,1.0,0.58
8,F7YBW8_MESOW_Aakre_2015,motif_avoidance,3,3,dms_pool_guided,50,0.44,0.6263794604003481,1.0,2.88,1.0,0.44
8,F7YBW8_MESOW_Aakre_2015,motif_avoidance,3,4,dms_pool_guided,50,0.58,0.6928198433420364,0.9951044386422977,2.72,1.0,0.58
9,F7YBW8_MESOW_Aakre_2015,novelty,5,0,dms_pool_guided,50,0.16,0.4174640992167102,0.9942341166231505,3.62,1.0,0.16
9,F7YBW8_MESOW_Aakre_2015,novelty,5,1,dms_pool_guided,50,0.24,0.4641100957354221,0.952893820713664,3.64,1.0,0.24
9,F7YBW8_MESOW_Aakre_2015,novelty,5,2,dms_pool_guided,50,0.18,0.45277632724107925,0.9868363794604004,3.78,1.0,0.18
9,F7YBW8_MESOW_Aakre_2015,novelty,5,3,dms_pool_guided,50,0.3,0.5179645343777198,0.9883594429939078,3.62,1.0,0.3
9,F7YBW8_MESOW_Aakre_2015,novelty,5,4,dms_pool_guided,50,0.32,0.5462902523933856,1.0,3.38,1.0,0.32
10,F7YBW8_MESOW_Aakre_2015,fragility_aware,5,0,dms_pool_guided,50,0.82,0.8489360313315926,0.9990208877284595,2.64,1.0,0.82
10,F7YBW8_MESOW_Aakre_2015,fragility_aware,5,1,dms_pool_guided,50,0.88,0.8552545691906005,0.9974978241949521,2.72,1.0,0.88
10,F7YBW8_MESOW_Aakre_2015,fragility_aware,5,2,dms_pool_guided,50,0.82,0.8279558311575282,0.9946692776327241,2.84,1.0,0.82
10,F7YBW8_MESOW_Aakre_2015,fragility_aware,5,3,dms_pool_guided,50,0.84,0.8585596170583116,0.9980417754569191,2.76,1.0,0.84
