split,n,auroc,auprc,spearman
test,63544,0.7563950424317256,0.43472408295840215,0.6374920802424444
train,625164,0.8667786484979432,0.6808726368406437,0.7492552388135637
val,31401,0.8232967712606966,0.5989431677216316,0.7577967878700299
