task_idx,dataset_id,objective,edit_budget,seed,method,score_col,n_selected,functional_hit_rate,mean_fitness,best_fitness,mean_edit_distance,constraint_satisfaction_rate,joint_success_rate
7,F7YBW8_MESOW_Aakre_2015,fragility_aware,3,1,esm_if_rerank,esm_if_score,50,0.94,0.9191383812010443,0.9992384682332462,2.4,1.0,0.94
7,F7YBW8_MESOW_Aakre_2015,fragility_aware,3,2,esm_if_rerank,esm_if_score,50,0.94,0.9191383812010443,0.9992384682332462,2.4,1.0,0.94
7,F7YBW8_MESOW_Aakre_2015,fragility_aware,3,3,esm_if_rerank,esm_if_score,50,0.94,0.9191383812010443,0.9992384682332462,2.4,1.0,0.94
7,F7YBW8_MESOW_Aakre_2015,fragility_aware,3,4,esm_if_rerank,esm_if_score,50,0.94,0.9191383812010443,0.9992384682332462,2.4,1.0,0.94
8,F7YBW8_MESOW_Aakre_2015,motif_avoidance,3,0,esm_if_rerank,esm_if_score,50,0.72,0.7823117928633594,0.9992384682332462,2.5,1.0,0.72
8,F7YBW8_MESOW_Aakre_2015,motif_avoidance,3,1,esm_if_rerank,esm_if_score,50,0.72,0.7823117928633594,0.9992384682332462,2.5,1.0,0.72
8,F7YBW8_MESOW_Aakre_2015,motif_avoidance,3,2,esm_if_rerank,esm_if_score,50,0.72,0.7823117928633594,0.9992384682332462,2.5,1.0,0.72
8,F7YBW8_MESOW_Aakre_2015,motif_avoidance,3,3,esm_if_rerank,esm_if_score,50,0.72,0.7823117928633594,0.9992384682332462,2.5,1.0,0.72
8,F7YBW8_MESOW_Aakre_2015,motif_avoidance,3,4,esm_if_rerank,esm_if_score,50,0.72,0.7823117928633594,0.9992384682332462,2.5,1.0,0.72
9,F7YBW8_MESOW_Aakre_2015,novelty,5,0,esm_if_rerank,esm_if_score,50,0.66,0.7583039599651872,0.9992384682332462,2.76,1.0,0.66
9,F7YBW8_MESOW_Aakre_2015,novelty,5,1,esm_if_rerank,esm_if_score,50,0.66,0.7583039599651872,0.9992384682332462,2.76,1.0,0.66
9,F7YBW8_MESOW_Aakre_2015,novelty,5,2,esm_if_rerank,esm_if_score,50,0.66,0.7583039599651872,0.9992384682332462,2.76,1.0,0.66
