dataset_id,n,ece,brier,log_loss,mean_predicted,empirical_rate
CAPSD_AAV2S_Sinai_2021,13610,0.04065136354813977,0.12673386049649163,0.3922207737027426,0.2804232553005356,0.2530492285084497
D7PM05_CLYGR_Somermeyer_2022,7722,0.15583122426512194,0.15830293727589348,0.47686155797557744,0.39566546409936176,0.23983423983423982
F7YBW8_MESOW_Aakre_2015,9192,0.535425027235647,0.46896893161758013,1.1986735447648456,0.785425027235647,0.25
F7YBW8_MESOW_Ding_2023,2563,0.06392555677890639,0.10270057308204024,0.31555166262546985,0.2871103646330746,0.23995317986734296
GCN4_YEAST_Staller_2018,2638,0.11678990145299623,0.2010631259054496,0.9715827001924217,0.16269996002563628,0.25018953752843065
GFP_AEQVI_Sarkisyan_2016,51714,0.03518905561173637,0.13404747106311124,0.4071011564937555,0.2629369990660293,0.25000966856170476
HIS7_YEAST_Pokusaeva_2019,64047,0.05721501542645348,0.15935424481799765,0.47236819051890905,0.2331720450729176,0.25236154698893
PHOT_CHLRE_Chen_2023,53559,0.0589543842583042,0.08149082556911157,0.2673624193312498,0.30076243653249196,0.25121828264157287
Q6WV12_9MAXI_Somermeyer_2022,31401,0.000107871728822973,0.13817197411734394,0.42196993779492076,0.2500238870418139,0.25002388458966274
Q8WTC7_9CNID_Somermeyer_2022,10783,0.06889433795664093,0.15951683850272755,0.4845010495187597,0.31097219963090345,0.2500231846424928
SPG1_STRSG_Wu_2016,47716,0.04507684659623576,0.13880248251543595,0.4344173184392041,0.27170536067655426,0.2507335065806019
