split,n,ece,brier,log_loss,mean_predicted,empirical_rate
test,52826,0.12009570355833846,0.21267698803775192,0.6012331646845684,0.3875083282127525,0.29008442812251545
pooled,52826,0.12009570355833846,0.21267698803775192,0.6012331646845684,0.3875083282127525,0.29008442812251545
F7YBW8_MESOW_Aakre_2015,9192,0.535425027235647,0.46896893161758,1.1986735447648456,0.7854250272356469,0.25
GCN4_YEAST_Staller_2018,1225,0.09172987539725283,0.2266215151285575,0.7041734831514765,0.277559264324998,0.3159183673469388
GFP_AEQVI_Sarkisyan_2016,42409,0.034851199029163726,0.15672382736261178,0.46876661598453145,0.3044372184446385,0.29802636232875096
