task_idx,dataset_id,objective,edit_budget,seed,method,vep_column,vep_coverage,n_selected,functional_hit_rate,mean_fitness,best_fitness,mean_edit_distance,constraint_satisfaction_rate,joint_success_rate
2,F7YBW8_MESOW_Aakre_2015,motif_avoidance,1,4,tranception_l_rerank,Tranception_L,1.0,37,0.972972972972973,0.9794121798038244,0.9997824194952132,1.0,1.0,0.972972972972973
2,F7YBW8_MESOW_Aakre_2015,motif_avoidance,1,4,eve_ensemble_rerank,EVE_ensemble,1.0,37,0.972972972972973,0.9794121798038247,0.9997824194952132,1.0,1.0,0.972972972972973
3,F7YBW8_MESOW_Aakre_2015,novelty,2,0,tranception_l_rerank,Tranception_L,1.0,50,1.0,0.9927763272410792,0.9998912097476066,1.44,1.0,1.0
3,F7YBW8_MESOW_Aakre_2015,novelty,2,0,eve_ensemble_rerank,EVE_ensemble,1.0,50,1.0,0.9865926892950392,0.9998912097476066,1.46,1.0,1.0
3,F7YBW8_MESOW_Aakre_2015,novelty,2,1,tranception_l_rerank,Tranception_L,1.0,50,1.0,0.9927763272410792,0.9998912097476066,1.44,1.0,1.0
3,F7YBW8_MESOW_Aakre_2015,novelty,2,1,eve_ensemble_rerank,EVE_ensemble,1.0,50,1.0,0.9865926892950392,0.9998912097476066,1.46,1.0,1.0
3,F7YBW8_MESOW_Aakre_2015,novelty,2,2,tranception_l_rerank,Tranception_L,1.0,50,1.0,0.9927763272410792,0.9998912097476066,1.44,1.0,1.0
3,F7YBW8_MESOW_Aakre_2015,novelty,2,2,eve_ensemble_rerank,EVE_ensemble,1.0,50,1.0,0.9865926892950392,0.9998912097476066,1.46,1.0,1.0
3,F7YBW8_MESOW_Aakre_2015,novelty,2,3,tranception_l_rerank,Tranception_L,1.0,50,1.0,0.9927763272410792,0.9998912097476066,1.44,1.0,1.0
3,F7YBW8_MESOW_Aakre_2015,novelty,2,3,eve_ensemble_rerank,EVE_ensemble,1.0,50,1.0,0.9865926892950392,0.9998912097476066,1.46,1.0,1.0
3,F7YBW8_MESOW_Aakre_2015,novelty,2,4,tranception_l_rerank,Tranception_L,1.0,50,1.0,0.9927763272410792,0.9998912097476066,1.44,1.0,1.0
3,F7YBW8_MESOW_Aakre_2015,novelty,2,4,eve_ensemble_rerank,EVE_ensemble,1.0,50,1.0,0.9865926892950392,0.9998912097476066,1.46,1.0,1.0
4,F7YBW8_MESOW_Aakre_2015,fragility_aware,2,0,tranception_l_rerank,Tranception_L,1.0,50,1.0,0.9927763272410792,0.9998912097476066,1.44,1.0,1.0
4,F7YBW8_MESOW_Aakre_2015,fragility_aware,2,0,eve_ensemble_rerank,EVE_ensemble,1.0,50,1.0,0.987630548302872,0.9998912097476066,1.5,1.0,1.0
4,F7YBW8_MESOW_Aakre_2015,fragility_aware,2,1,tranception_l_rerank,Tranception_L,1.0,50,1.0,0.9927763272410792,0.9998912097476066,1.44,1.0,1.0
4,F7YBW8_MESOW_Aakre_2015,fragility_aware,2,1,eve_ensemble_rerank,EVE_ensemble,1.0,50,1.0,0.987630548302872,0.9998912097476066,1.5,1.0,1.0
4,F7YBW8_MESOW_Aakre_2015,fragility_aware,2,2,tranception_l_rerank,Tranception_L,1.0,50,1.0,0.9927763272410792,0.9998912097476066,1.44,1.0,1.0
4,F7YBW8_MESOW_Aakre_2015,fragility_aware,2,2,eve_ensemble_rerank,EVE_ensemble,1.0,50,1.0,0.987630548302872,0.9998912097476066,1.5,1.0,1.0
4,F7YBW8_MESOW_Aakre_2015,fragility_aware,2,3,tranception_l_rerank,Tranception_L,1.0,50,1.0,0.9927763272410792,0.9998912097476066,1.44,1.0,1.0
4,F7YBW8_MESOW_Aakre_2015,fragility_aware,2,3,eve_ensemble_rerank,EVE_ensemble,1.0,50,1.0,0.987630548302872,0.9998912097476066,1.5,1.0,1.0
4,F7YBW8_MESOW_Aakre_2015,fragility_aware,2,4,tranception_l_rerank,Tranception_L,1.0,50,1.0,0.9927763272410792,0.9998912097476066,1.44,1.0,1.0
4,F7YBW8_MESOW_Aakre_2015,fragility_aware,2,4,eve_ensemble_rerank,EVE_ensemble,1.0,50,1.0,0.987630548302872,0.9998912097476066,1.5,1.0,1.0
5,F7YBW8_MESOW_Aakre_2015,motif_avoidance,2,0,tranception_l_rerank,Tranception_L,1.0,50,1.0,0.9927763272410792,0.9998912097476066,1.44,1.0,1.0
5,F7YBW8_MESOW_Aakre_2015,motif_avoidance,2,0,eve_ensemble_rerank,EVE_ensemble,1.0,50,1.0,0.9865926892950392,0.9998912097476066,1.46,1.0,1.0
5,F7YBW8_MESOW_Aakre_2015,motif_avoidance,2,1,tranception_l_rerank,Tranception_L,1.0,50,1.0,0.9927763272410792,0.9998912097476066,1.44,1.0,1.0
5,F7YBW8_MESOW_Aakre_2015,motif_avoidance,2,1,eve_ensemble_rerank,EVE_ensemble,1.0,50,1.0,0.9865926892950392,0.9998912097476066,1.46,1.0,1.0
5,F7YBW8_MESOW_Aakre_2015,motif_avoidance,2,2,tranception_l_rerank,Tranception_L,1.0,50,1.0,0.9927763272410792,0.9998912097476066,1.44,1.0,1.0
5,F7YBW8_MESOW_Aakre_2015,motif_avoidance,2,2,eve_ensemble_rerank,EVE_ensemble,1.0,50,1.0,0.9865926892950392,0.9998912097476066,1.46,1.0,1.0
