split,n,auroc,auprc,spearman
test,11830,0.6623257998513605,0.396985287939341,0.12140562746190814
train,656565,0.7526736360900274,0.5099856860101353,0.5216661467929969
val,51714,0.7254710305696408,0.4228568870099519,-0.12727554105994487
