method,n_selected,functional_hit_rate,mean_fitness,best_fitness,mean_edit_distance,constraint_satisfaction_rate,joint_success_rate,task_idx,dataset_id,objective,edit_budget,seed
objective_only,50,0.06,0.4629507654507654,0.8570213570213571,1.0,1.0,0.06,2,CAPSD_AAV2S_Sinai_2021,motif_avoidance,1,1
dms_prior_rerank,50,0.92,0.8788537138537137,0.9884709884709885,1.0,1.0,0.92,2,CAPSD_AAV2S_Sinai_2021,motif_avoidance,1,1
editguard_guided,50,0.92,0.8788537138537137,0.9884709884709885,1.0,1.0,0.92,2,CAPSD_AAV2S_Sinai_2021,motif_avoidance,1,1
random,50,0.24,0.5489997164997165,0.9677990927990928,1.0,1.0,0.24,2,CAPSD_AAV2S_Sinai_2021,motif_avoidance,1,2
novelty,50,0.06,0.4629507654507654,0.8570213570213571,1.0,1.0,0.06,2,CAPSD_AAV2S_Sinai_2021,motif_avoidance,1,2
objective_only,50,0.06,0.4629507654507654,0.8570213570213571,1.0,1.0,0.06,2,CAPSD_AAV2S_Sinai_2021,motif_avoidance,1,2
dms_prior_rerank,50,0.92,0.8788537138537137,0.9884709884709885,1.0,1.0,0.92,2,CAPSD_AAV2S_Sinai_2021,motif_avoidance,1,2
editguard_guided,50,0.92,0.8788537138537137,0.9884709884709885,1.0,1.0,0.92,2,CAPSD_AAV2S_Sinai_2021,motif_avoidance,1,2
random,50,0.38,0.5082070969570969,0.9888017388017388,1.96,1.0,0.38,3,CAPSD_AAV2S_Sinai_2021,novelty,2,0
novelty,50,0.3,0.5037445662445663,0.9896522396522397,2.0,1.0,0.3,3,CAPSD_AAV2S_Sinai_2021,novelty,2,0
objective_only,50,0.22,0.4554722642222642,0.9794226044226044,2.0,1.0,0.22,3,CAPSD_AAV2S_Sinai_2021,novelty,2,0
dms_prior_rerank,50,0.94,0.8876627764127764,0.9927234927234927,1.9,1.0,0.94,3,CAPSD_AAV2S_Sinai_2021,novelty,2,0
editguard_guided,50,0.92,0.8820839633339633,0.9927234927234927,1.94,1.0,0.92,3,CAPSD_AAV2S_Sinai_2021,novelty,2,0
random,50,0.32,0.46792383292383294,0.99995274995275,2.0,1.0,0.32,3,CAPSD_AAV2S_Sinai_2021,novelty,2,1
novelty,50,0.24,0.45369471744471745,0.9901011151011151,2.0,1.0,0.24,3,CAPSD_AAV2S_Sinai_2021,novelty,2,1
objective_only,50,0.26,0.4824992912492912,0.9901011151011151,2.0,1.0,0.26,3,CAPSD_AAV2S_Sinai_2021,novelty,2,1
dms_prior_rerank,50,0.78,0.8386467586467586,0.9992439992439992,2.0,1.0,0.78,3,CAPSD_AAV2S_Sinai_2021,novelty,2,1
editguard_guided,50,0.78,0.8386467586467586,0.9992439992439992,2.0,1.0,0.78,3,CAPSD_AAV2S_Sinai_2021,novelty,2,1
random,50,0.24,0.47032342657342663,0.9794226044226044,1.96,1.0,0.24,3,CAPSD_AAV2S_Sinai_2021,novelty,2,2
novelty,50,0.22,0.4393285768285768,0.9923927423927424,2.0,1.0,0.22,3,CAPSD_AAV2S_Sinai_2021,novelty,2,2
objective_only,50,0.26,0.4619880457380458,0.9966924966924967,2.0,1.0,0.26,3,CAPSD_AAV2S_Sinai_2021,novelty,2,2
dms_prior_rerank,50,0.92,0.8732602532602531,0.9966924966924967,1.88,1.0,0.92,3,CAPSD_AAV2S_Sinai_2021,novelty,2,2
editguard_guided,50,0.88,0.873859383859384,0.9966924966924967,2.0,1.0,0.88,3,CAPSD_AAV2S_Sinai_2021,novelty,2,2
random,50,0.42,0.5889364014364015,0.9912587412587412,1.94,1.0,0.42,4,CAPSD_AAV2S_Sinai_2021,fragility_aware,2,0
novelty,50,0.38,0.5819800132300132,0.9987006237006237,2.0,1.0,0.38,4,CAPSD_AAV2S_Sinai_2021,fragility_aware,2,0
objective_only,50,0.34,0.5768814968814969,0.9873606123606123,1.98,1.0,0.34,4,CAPSD_AAV2S_Sinai_2021,fragility_aware,2,0
dms_prior_rerank,50,0.86,0.8397172084672084,0.9991022491022491,1.84,1.0,0.86,4,CAPSD_AAV2S_Sinai_2021,fragility_aware,2,0
editguard_guided,50,0.86,0.8397172084672084,0.9991022491022491,1.84,1.0,0.86,4,CAPSD_AAV2S_Sinai_2021,fragility_aware,2,0
random,50,0.28,0.5409603572103572,0.9987006237006237,1.94,1.0,0.28,4,CAPSD_AAV2S_Sinai_2021,fragility_aware,2,1
novelty,50,0.4,0.5886732186732186,0.9986061236061236,2.0,1.0,0.4,4,CAPSD_AAV2S_Sinai_2021,fragility_aware,2,1
objective_only,50,0.3,0.5215894915894916,0.935999810999811,1.92,1.0,0.3,4,CAPSD_AAV2S_Sinai_2021,fragility_aware,2,1
dms_prior_rerank,50,0.86,0.8437072387072386,0.9957474957474958,1.78,1.0,0.86,4,CAPSD_AAV2S_Sinai_2021,fragility_aware,2,1
editguard_guided,50,0.86,0.8437072387072386,0.9957474957474958,1.78,1.0,0.86,4,CAPSD_AAV2S_Sinai_2021,fragility_aware,2,1
random,50,0.26,0.5415342090342091,0.9984171234171234,1.94,1.0,0.26,4,CAPSD_AAV2S_Sinai_2021,fragility_aware,2,2
novelty,50,0.38,0.5737809487809488,0.9884237384237384,2.0,1.0,0.38,4,CAPSD_AAV2S_Sinai_2021,fragility_aware,2,2
objective_only,50,0.38,0.6160002835002835,0.9884237384237384,1.96,1.0,0.38,4,CAPSD_AAV2S_Sinai_2021,fragility_aware,2,2
dms_prior_rerank,50,0.88,0.838592421092421,0.98504536004536,1.74,1.0,0.88,4,CAPSD_AAV2S_Sinai_2021,fragility_aware,2,2
editguard_guided,50,0.88,0.838592421092421,0.98504536004536,1.74,1.0,0.88,4,CAPSD_AAV2S_Sinai_2021,fragility_aware,2,2
random,50,0.26,0.43122566622566616,0.9904554904554904,1.98,1.0,0.26,5,CAPSD_AAV2S_Sinai_2021,motif_avoidance,2,0
novelty,50,0.14,0.4436285673785674,0.9991731241731242,2.0,1.0,0.14,5,CAPSD_AAV2S_Sinai_2021,motif_avoidance,2,0
objective_only,50,0.12,0.3809501984501985,0.9598610848610849,1.98,1.0,0.12,5,CAPSD_AAV2S_Sinai_2021,motif_avoidance,2,0
dms_prior_rerank,50,0.9,0.8850018900018901,0.9952513702513702,1.9,1.0,0.9,5,CAPSD_AAV2S_Sinai_2021,motif_avoidance,2,0
editguard_guided,50,0.9,0.8850018900018901,0.9952513702513702,1.9,1.0,0.9,5,CAPSD_AAV2S_Sinai_2021,motif_avoidance,2,0
random,50,0.2,0.4391261103761104,0.9658382158382158,1.94,1.0,0.2,5,CAPSD_AAV2S_Sinai_2021,motif_avoidance,2,1
novelty,50,0.2,0.43858580608580616,0.9768238518238518,2.0,1.0,0.2,5,CAPSD_AAV2S_Sinai_2021,motif_avoidance,2,1
objective_only,50,0.14,0.4181607919107918,0.9719807219807219,1.96,1.0,0.14,5,CAPSD_AAV2S_Sinai_2021,motif_avoidance,2,1
dms_prior_rerank,50,0.92,0.8788619826119828,0.9927471177471178,1.78,1.0,0.92,5,CAPSD_AAV2S_Sinai_2021,motif_avoidance,2,1
editguard_guided,50,0.92,0.8788619826119828,0.9927471177471178,1.78,1.0,0.92,5,CAPSD_AAV2S_Sinai_2021,motif_avoidance,2,1
random,50,0.3,0.4630060480060481,0.9959364959364959,1.96,1.0,0.3,5,CAPSD_AAV2S_Sinai_2021,motif_avoidance,2,2
novelty,50,0.16,0.40412469287469294,0.9786666036666036,2.0,1.0,0.16,5,CAPSD_AAV2S_Sinai_2021,motif_avoidance,2,2
objective_only,50,0.14,0.4084265734265734,0.9786666036666036,1.94,1.0,0.14,5,CAPSD_AAV2S_Sinai_2021,motif_avoidance,2,2
