dataset_id,n,r2_additive,r2_global,spec_std,spec_var_share
1E0L.pdb,413,-0.989799528168652,0.8583229480504031,0.3379302256901548,0.1416770519495969
1E6H.pdb,294,0.4320477386636046,0.9026874792144766,0.34598865991515004,0.09731252078552342
1ENH.pdb,151,-4.6448493004408995,0.7008981264231912,0.37643253561724577,0.2991018735768088
1F0M.pdb,702,-3.775441760436519,0.4858016205386204,0.5843849952725135,0.5141983794613795
1GL5.pdb,2575,-0.4849040497372241,0.744987714038919,0.4370925656757741,0.2550122859610811
1GYZ.pdb,340,-0.3065714443580072,0.6735548902547345,0.5983234679725741,0.3264451097452655
1H8K.pdb,295,0.3058594035313017,0.823833246632192,0.4072259397591339,0.17616675336780802
1H92.pdb,838,-1.5137202490250927,0.6310128563179453,0.44149608203265467,0.3689871436820546
1I2T.pdb,340,0.6931649791720267,0.8778011525952834,0.1651807726211838,0.12219884740471663
1I6C.pdb,116,-1.191915192630784,0.602780514249708,0.49446626318161896,0.3972194857502919
1IFY.pdb,221,0.44519643154660604,0.7055775758136958,0.49984383396668025,0.29442242418630415
1K1V.pdb,648,-3.4886574971565665,0.6031557718897829,0.2993030428591737,0.3968442281102172
1LP1.pdb,1071,-2.3175966434551047,0.4850914003294369,0.30585128026986413,0.5149085996705631
1O6X.pdb,695,-2.5432935314629437,0.7671249152932385,0.48656067297684136,0.2328750847067615
1OPS.pdb,324,-0.15355645223043046,0.4205975484032255,1.2148561182560351,0.5794024515967746
1ORC.pdb,1084,-0.4696138358194024,0.8302642038316603,0.4479708754850689,0.16973579616833961
1PSE.pdb,254,-12.912629102038283,0.524353245963501,0.3448818542485411,0.4756467540364991
1PV0.pdb,1937,-1.190598695936763,0.5671631345679025,0.4874158320795928,0.4328368654320975
1PWT.pdb,169,-0.6503677895835458,0.8314488968847684,0.4479216422673321,0.16855110311523155
1QKH.pdb,1333,-1.3877417042000122,0.5378201611787374,0.3697525903892148,0.4621798388212625
1QKX.pdb,127,-1.7463292294024941,0.8109136690032487,0.4631550426450079,0.18908633099675126
1QLY.pdb,680,-0.2759146872052709,0.8458109702611416,0.457539172048495,0.1541890297388584
1QP2.pdb,2631,-1.5120044571141689,0.6704843614406426,0.5351178622134956,0.3295156385593575
1R69.pdb,243,-10.119093610934117,0.22571541907074477,0.8732248936198848,0.7742845809292551
1SRM.pdb,360,0.09717388821088058,0.7920885086204548,0.340334609084651,0.2079114913795452
1TG0.pdb,750,-0.059458226030582706,0.6021585683517787,0.5788787715585988,0.3978414316482213
1TUC.pdb,209,0.02157300416162855,0.9178645083566657,0.25694332355664407,0.08213549164333436
1TUD.pdb,1946,0.14455034090190277,0.7708956129126254,0.5190323637205956,0.22910438708737463
1UFM.pdb,1944,-0.2418945922952478,0.6554579998041701,0.3863827208463991,0.3445420001958299
1UZC.pdb,825,-6.2523350202693155,0.22287607788104324,0.4251109072979444,0.7771239221189565
