dataset_id,n,r2_additive,r2_global,spec_std,spec_var_share
6M3N.pdb,2526,-2.8353710977943,0.8245609068040507,0.28822277043441746,0.17543909319594936
6NMW.pdb,949,-1.7293279193999331,0.7249067947881636,0.6054809558951678,0.27509320521183644
6SCW.pdb,191,0.01867900264408562,0.8689098024600967,0.3626756888778413,0.1310901975399033
7BPM.pdb,1314,0.10285470377281292,0.8242071691910341,0.3121919144384191,0.1757928308089659
EEHEE_rd3_0019.pdb,240,0.6180340289993927,0.8180914874979736,0.31998706507893343,0.1819085125020264
EHEE_rd2_0152.pdb,891,-1.5195302821994585,0.6501626352415215,0.3871135972542845,0.3498373647584785
EHEE_rd2_0487.pdb,309,-0.7345385246811618,0.727864456704012,0.21003237700366348,0.272135543295988
EHEE_rd2_1106.pdb,232,-4.259274050044952,0.6936354759154312,0.281961667416049,0.30636452408456877
HEEH_KT_rd6_0280.pdb,352,-5.102145244705986,0.807179476846043,0.2815710698511938,0.19282052315395712
HHH_rd1_0244.pdb,307,0.6396915130158038,0.7963656287533223,0.28764082124360196,0.20363437124667774
HHH_rd1_0493.pdb,945,0.3620325258168531,0.5119955367838065,0.6229496189990502,0.48800446321619356
HHH_rd1_0949.pdb,296,-0.5790833239329227,0.8153849766620609,0.31098897109438434,0.18461502333793914
HHH_rd4_0395.pdb,356,0.6145344745224127,0.8576553553235429,0.2282551251496862,0.14234464467645713
HHH_rd4_0676.pdb,333,-0.4926994940819309,0.7959878828186971,0.3906092411516156,0.20401211718130283
